DistrictName,MedianIncome
HICKSVILLE UNION FREE SCHOOL DISTRICT,133881.83333333334
HIGHLAND CENTRAL SCHOOL DISTRICT,66984.0
HIGHLAND FALLS CENTRAL SCHOOL DISTRICT,102260.4
HILTON CENTRAL SCHOOL DISTRICT,66139.14285714286
HINSDALE CENTRAL SCHOOL DISTRICT,50180.5
HOLLAND CENTRAL SCHOOL DISTRICT,67787.77777777778
HOLLAND PATENT CENTRAL SCHOOL DISTRICT,72809.5
HOLLEY CENTRAL SCHOOL DISTRICT,59784.2
HOMER CENTRAL SCHOOL DISTRICT,75074.66666666667
HONEOYE CENTRAL SCHOOL DISTRICT,66354.875
HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,84392.4
HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,79609.83333333333
HOOSICK FALLS CENTRAL SCHOOL DISTRICT,71795.4
HORNELL CITY SCHOOL DISTRICT,47783.0
HORSEHEADS CENTRAL SCHOOL DISTRICT,60256.230769230766
HUDSON CITY SCHOOL DISTRICT,65495.166666666664
HUDSON FALLS CENTRAL SCHOOL DISTRICT,64791.0
HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,69565.5
HUNTINGTON UNION FREE SCHOOL DISTRICT,131281.5
HYDE PARK CENTRAL SCHOOL DISTRICT,81705.0
INDIAN LAKE CENTRAL SCHOOL DISTRICT,59063.0
INDIAN RIVER CENTRAL SCHOOL DISTRICT,53606.0
INLET COMMON SCHOOL DISTRICT,42813.0
IROQUOIS CENTRAL SCHOOL DISTRICT,76619.72727272728
IRVINGTON UNION FREE SCHOOL DISTRICT,131104.0
ISLAND PARK UNION FREE SCHOOL DISTRICT,103508.0
ISLAND TREES UNION FREE SCHOOL DISTRICT,125811.66666666667
ISLIP UNION FREE SCHOOL DISTRICT,95089.0
ITHACA CITY SCHOOL DISTRICT,62676.5
JAMESTOWN CITY SCHOOL DISTRICT,42558.0
JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,76430.0
JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,52934.125
JEFFERSON CENTRAL SCHOOL DISTRICT,53163.666666666664
JERICHO UNION FREE SCHOOL DISTRICT,152512.57142857142
JOHNSBURG CENTRAL SCHOOL DISTRICT,57142.71428571428
JOHNSON CITY CENTRAL SCHOOL DISTRICT,48683.25
