,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate
680,95,75512.0,17463.98,1
681,96,57784.0,21378.37,2
682,89,61267.0,32101.51,6
683,82,54473.6,19328.04,6
684,92,108718.3,24688.51,4
685,96,58483.0,21996.67,2
686,95,76938.0,16351.6,0
687,89,110161.0,27633.69,6
688,93,51638.0,17041.73,2
689,98,116003.0,24902.21,0
690,91,59280.0,16393.8,4
691,79,58744.2,36386.31,14
692,84,152112.0,24100.6,11
693,80,49503.3,22096.84,4
694,93,113387.3,25836.22,3
695,96,66212.5,17204.54,3
696,95,65308.9,20977.82,0
697,88,67558.0,24615.3,3
699,91,106715.3,27671.34,3
700,76,64743.8,20970.97,16
701,94,65544.6,17518.67,4
702,93,45024.7,25735.4,0
703,78,55161.9,20246.09,6
704,89,93855.7,20200.92,4
705,94,71056.0,18664.46,1
706,95,89129.3,16128.34,2
707,80,60185.2,29014.65,5
708,91,63643.7,19651.21,8
709,95,53107.0,30935.23,5
710,92,55349.8,20400.27,4
711,100,54057.5,22629.71,0
712,56,98069.0,21454.95,17
715,91,94866.4,18820.45,3
716,97,61273.5,19869.81,2
717,89,58648.5,17445.73,6
718,97,115881.2,24424.21,1
