,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
248,GREENWICH CSD,91,1,18651.65,945,496,449,897,5.1
249,GREENWOOD LAKE UFSD,—,—,33865.79,474,236,238,307,35.2
250,GROTON CSD,90,3,19387.04,778,387,391,709,8.9
251,GUILDERLAND CSD,94,2,17693.96,4841,2451,2390,3556,26.5
252,HADLEY-LUZERNE CSD,89,7,25299.07,640,350,290,612,4.4
253,HALDANE CSD,93,3,25957.28,796,423,373,659,17.2
254,HALF HOLLOW HILLS CSD,95,1,27791.97,7676,3950,3726,4052,47.2
255,HAMBURG CSD,92,3,17076.46,3321,1649,1672,3088,7.0
256,HAMILTON CSD,90,5,20603.59,554,303,251,506,8.7
257,HAMMOND CSD,74,16,26123.36,242,124,118,239,1.2
258,HAMMONDSPORT CSD,76,11,27744.76,395,196,199,366,7.3
259,HAMPTON BAYS UFSD,91,6,21642.94,2006,1048,958,740,63.1
260,HANCOCK CSD,97,3,29004.88,308,159,149,279,9.4
261,HANNIBAL CSD,82,10,19515.27,1236,649,587,1187,4.0
262,HARBORFIELDS CSD,95,1,24499.74,2965,1510,1455,2133,28.1
263,HARPURSVILLE CSD,84,3,21205.12,641,365,276,611,4.7
264,HARRISON CSD,98,1,28893.27,3653,1820,1833,2366,35.2
265,HARRISVILLE CSD,91,9,25442.94,340,175,165,321,5.6
266,HARTFORD CSD,83,7,21509.80,410,230,180,384,6.3
267,HASTINGS-ON-HUDSON UFSD,96,1,27795.13,1656,840,816,1184,28.5
268,HAUPPAUGE UFSD,95,0,28953.45,3272,1725,1547,2361,27.8
269,HAVERSTRAW-STONY POINT CSD (NORTH RO,86,6,22215.24,7886,4031,3855,1776,77.5
270,HAWTHORNE-CEDAR KNOLLS UFSD,30,10,N/A,207,133,74,20,90.3
271,HEMPSTEAD UFSD,78,10,21489.70,6825,3624,3201,105,98.5
272,HENDRICK HUDSON CSD,94,1,28567.90,2267,1146,1121,1264,44.2
273,HERKIMER CSD,82,9,16820.51,1059,550,509,946,10.7
274,HERMON-DEKALB CSD,91,6,21992.93,391,201,190,376,3.8
