DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
LE ROY CSD,90.0,5.0,16863.6,1176.0,583.0,593.0,8.2,67910.25,""
LETCHWORTH CSD,94.0,0.0,17015.69,893.0,464.0,429.0,4.0,54844.2,""
LEVITTOWN UFSD,94.0,1.0,26952.8,7102.0,3635.0,3467.0,36.4,136470.67,No
LEWISTON-PORTER CSD,92.0,4.0,18690.08,1920.0,1004.0,916.0,9.2,61757.5,Yes
LIBERTY CSD,77.0,14.0,23182.34,1694.0,876.0,818.0,58.3,57930.54,""
LINDENHURST UFSD,91.0,4.0,23636.09,5674.0,2882.0,2792.0,34.9,99576.0,No
LISBON CSD,92.0,0.0,20676.12,559.0,282.0,277.0,2.5,55901.5,""
LITTLE FALLS CITY SD,79.0,17.0,19877.83,1073.0,546.0,527.0,10.0,54676.25,""
LITTLE FLOWER UFSD,79.0,17.0,19877.83,97.0,64.0,33.0,50.5,"",""
LIVERPOOL CSD,84.0,5.0,18169.54,6927.0,3478.0,3449.0,28.7,70631.34,No
LIVINGSTON MANOR CSD,74.0,10.0,30012.19,410.0,191.0,219.0,20.5,63833.2,""
LIVONIA CSD,98.0,1.0,19693.89,1449.0,767.0,682.0,5.9,66544.78,""
LOCKPORT CITY SD,89.0,2.0,18128.21,4328.0,2206.0,2122.0,29.5,60823.0,No
LOCUST VALLEY CSD,97.0,0.0,37089.06,2012.0,1028.0,984.0,26.8,123948.43,""
LONG BEACH CITY SD,97.0,1.0,31355.75,3613.0,1879.0,1734.0,41.9,112522.0,""
LONG LAKE CSD,97.0,1.0,52830.45,59.0,32.0,27.0,5.1,52795.5,""
LONGWOOD CSD,89.0,5.0,21996.25,9042.0,4626.0,4416.0,54.6,98875.11,Yes
LOWVILLE ACADEMY & CSD,92.0,5.0,16364.3,1283.0,653.0,630.0,6.4,"",""
LYME CSD,95.0,5.0,19158.07,331.0,157.0,174.0,6.9,62542.2,""
LYNBROOK UFSD,97.0,1.0,26396.92,2787.0,1422.0,1365.0,32.9,115458.25,No
LYNCOURT UFSD,97.0,1.0,20346.46,373.0,196.0,177.0,47.5,44606.5,""
LYNDONVILLE CSD,96.0,4.0,20760.99,586.0,296.0,290.0,12.1,54853.2,""
LYONS CSD,74.0,14.0,25724.35,833.0,434.0,399.0,25.5,53364.0,""
MADISON CSD,94.0,3.0,18344.65,454.0,212.0,242.0,1.8,61093.67,""
MADRID-WADDINGTON CSD,93.0,2.0,19452.88,655.0,331.0,324.0,3.5,60148.89,""
