,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
245,GREENWICH CSD,91.0,1.0,18651.65,945,496,449,5.1,77175.875,
246,GREENWOOD LAKE UFSD,,,33865.79,474,236,238,35.2,92963.33333333331,
247,GROTON CSD,90.0,3.0,19387.04,778,387,391,8.9,65364.75,
248,GUILDERLAND CSD,94.0,2.0,17693.96,4841,2451,2390,26.5,75045.11111111111,Yes
249,HADLEY-LUZERNE CSD,89.0,7.0,25299.07,640,350,290,4.4,62414.71428571428,
250,HALDANE CSD,93.0,3.0,25957.28,796,423,373,17.2,104061.0,
251,HALF HOLLOW HILLS CSD,95.0,1.0,27791.97,7676,3950,3726,47.2,117510.14285714286,
252,HAMBURG CSD,92.0,3.0,17076.46,3321,1649,1672,7.0,79445.83333333333,No
253,HAMILTON CSD,90.0,5.0,20603.59,554,303,251,8.7,56966.833333333336,
254,HAMMOND CSD,74.0,16.0,26123.36,242,124,118,1.2,58918.5,
255,HAMMONDSPORT CSD,76.0,11.0,27744.76,395,196,199,7.3,51205.75,
256,HAMPTON BAYS UFSD,91.0,6.0,21642.94,2006,1048,958,63.1,92699.75,
257,HANCOCK CSD,97.0,3.0,29004.88,308,159,149,9.4,54114.0,
258,HANNIBAL CSD,82.0,10.0,19515.27,1236,649,587,4.0,54135.2,
259,HARBORFIELDS CSD,95.0,1.0,24499.74,2965,1510,1455,28.1,135911.0,No
260,HARPURSVILLE CSD,84.0,3.0,21205.12,641,365,276,4.7,56108.57142857143,
261,HARRISON CSD,98.0,1.0,28893.27,3653,1820,1833,35.2,137353.5,No
262,HARRISVILLE CSD,91.0,9.0,25442.94,340,175,165,5.6,50445.0,
263,HARTFORD CSD,83.0,7.0,21509.8,410,230,180,6.3,57991.857142857145,
264,HASTINGS-ON-HUDSON UFSD,96.0,1.0,27795.13,1656,840,816,28.5,137899.0,
265,HAUPPAUGE UFSD,95.0,0.0,28953.45,3272,1725,1547,27.8,111789.0,No
266,HAVERSTRAW-STONY POINT CSD (NORTH RO,86.0,6.0,22215.24,7886,4031,3855,77.5,,
267,HAWTHORNE-CEDAR KNOLLS UFSD,30.0,10.0,,207,133,74,90.3,,
268,HEMPSTEAD UFSD,78.0,10.0,21489.7,6825,3624,3201,98.5,107137.0,No
269,HENDRICK HUDSON CSD,94.0,1.0,28567.9,2267,1146,1121,44.2,105085.0,
270,HERKIMER CSD,82.0,9.0,16820.51,1059,550,509,10.7,57833.333333333336,
271,HERMON-DEKALB CSD,91.0,6.0,21992.93,391,201,190,3.8,50376.5,
272,HERRICKS UFSD,97.0,0.0,25834.33,4007,2067,1940,75.3,160936.33333333334,No
273,HEUVELTON CSD,75.0,8.0,21354.54,504,260,244,4.0,50010.71428571428,
274,HEWLETT-WOODMERE UFSD,95.0,1.0,32708.8,2854,1511,1343,37.6,133385.75,No
275,HICKSVILLE UFSD,92.0,4.0,21799.6,5272,2747,2525,74.2,133881.83333333334,No
276,HIGHLAND CSD,93.0,4.0,22380.21,1666,840,826,30.3,66984.0,
277,HIGHLAND FALLS CSD,87.0,8.0,23505.03,962,474,488,41.9,102260.4,
278,HILTON CSD,94.0,1.0,15641.88,4295,2219,2076,12.0,66139.14285714286,No
279,HINSDALE CSD,77.0,20.0,20616.41,387,175,212,8.5,50180.5,
280,HOLLAND CSD,95.0,2.0,18196.59,829,432,397,4.7,67787.77777777778,
281,HOLLAND PATENT CSD,88.0,5.0,18430.98,1298,679,619,1.1,72809.5,
282,HOLLEY CSD,94.0,2.0,19510.21,902,444,458,16.2,59784.2,
283,HOMER CSD,88.0,6.0,18818.88,1831,951,880,6.7,75074.66666666667,No
284,HONEOYE CSD,94.0,0.0,23910.02,569,311,258,3.3,66354.875,
285,HONEOYE FALLS-LIMA CSD,94.0,2.0,17749.56,2122,1136,986,8.1,84392.4,
286,HOOSIC VALLEY CSD,92.0,3.0,18681.68,931,486,445,4.2,79609.83333333333,
287,HOOSICK FALLS CSD,90.0,3.0,18103.91,1064,548,516,8.1,71795.4,
288,HORNELL CITY SD,86.0,4.0,18297.48,1528,754,774,14.8,47783.0,No
289,HORSEHEADS CSD,92.0,3.0,16537.38,3842,1956,1886,13.2,60256.230769230766,Yes
290,HUDSON CITY SD,80.0,7.0,24261.33,1617,810,807,60.0,65495.16666666666,No
