,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
157,157,159,EAST GREENBUSH CSD,96,2,17840.81,4088,2049,2039,21.1,82376.9
158,158,160,EAST HAMPTON UFSD,83,9,32627.14,1712,852,860,62.6,118018.0
159,159,161,EAST IRONDEQUOIT CSD,90,6,21188.16,2945,1488,1457,55.6,51098.0
160,160,162,EAST ISLIP UFSD,95,2,27025.08,3549,1855,1694,27.2,114191.2
161,161,163,EAST MEADOW UFSD,95,0,24954.87,7240,3643,3597,51.7,119341.0
162,162,164,EAST MORICHES UFSD,—,—,20972.97,684,335,349,18.9,109689.5
163,163,165,EAST QUOGUE UFSD,—,—,30127.26,390,203,187,34.6,84058.7
164,164,166,EAST RAMAPO CSD (SPRING VALLEY),65,20,20759.17,9387,4909,4478,96.6,96434.0
165,165,167,EAST ROCHESTER UFSD,80,8,21751.23,957,488,469,27.3,90799.5
166,166,168,EAST ROCKAWAY UFSD,96,1,27495.82,1173,576,597,40.2,110850.0
167,167,169,EAST SYRACUSE MINOA CSD,90,1,20125.41,3138,1608,1530,14.9,
168,168,170,EAST WILLISTON UFSD,99,0,29899.6,1722,914,808,42.4,149491.6
169,169,171,EASTCHESTER UFSD,99,0,23455.55,3232,1684,1548,32.9,151468.3
170,170,172,EASTPORT-SOUTH MANOR CSD,96,2,23188.7,3225,1646,1579,13.6,94368.2
171,171,173,EDEN CSD,88,3,17729.04,1307,669,638,6.6,66202.6
172,172,174,EDGEMONT UFSD,98,0,26154.46,2049,1061,988,54.8,152328.0
173,173,175,EDINBURG COMMON SCHOOL DISTRICT,—,—,37016.86,53,26,27,3.8,58945.5
174,174,176,EDMESTON CSD,91,3,21675.32,355,179,176,5.4,63899.9
175,175,177,EDWARDS-KNOX CSD,83,5,20184.28,485,257,228,2.7,52895.5
176,176,178,ELBA CSD,80,16,21297.72,374,194,180,20.6,61557.8
177,177,179,ELDRED CSD,88,2,27604.29,464,224,240,14.4,61916.9
178,178,181,ELLENVILLE CSD,81,11,26476.75,1516,751,765,53.8,67510.3
179,179,182,ELLICOTTVILLE CSD,92,3,17000.21,568,295,273,8.5,55898.0
180,180,183,ELMIRA CITY SCHOOL DISTRICT,73,16,18365.57,5544,2848,2696,28.6,55970.0
181,181,184,ELMIRA HEIGHTS CSD,88,6,17766.08,1018,503,515,12.8,55534.8
182,182,185,ELMONT UFSD,—,—,21485.41,3324,1690,1634,95.1,127021.2
183,183,186,ELMSFORD UFSD,89,1,28619.63,967,494,473,91.9,127944.5
184,184,187,ELWOOD UFSD,98,1,25149.52,2049,1031,1018,37.1,131034.0
185,185,188,EVANS-BRANT CSD (LAKE SHORE),90,6,21444.49,2179,1124,1055,22.8,57504.4
186,186,189,FABIUS-POMPEY CSD,92,0,23378.61,611,302,309,5.6,76135.7
187,187,190,FAIRPORT CSD,94,2,18288.31,5683,2932,2751,14.9,89395.4
188,188,191,FALCONER CSD,90,5,15754.62,1119,574,545,6.0,50546.3
189,189,192,FALLSBURG CSD,79,8,8070.27,1410,688,722,71.5,55982.8
190,190,193,FARMINGDALE UFSD,95,3,26389.39,5521,2882,2639,41.0,114446.2
191,191,194,FAYETTEVILLE-MANLIUS CSD,96,0,17546.6,4203,2114,2089,19.8,85551.3
192,192,195,FILLMORE CSD,96,2,16259.19,639,320,319,4.2,52211.4
193,193,196,FIRE ISLAND UFSD,—,—,117584.61,30,14,16,26.7,109138.0
194,194,197,FISHERS ISLAND UFSD,90,0,53804.95,61,26,35,14.8,46250.0
195,195,198,FLORAL PARK-BELLEROSE UFSD,—,—,17858.44,1472,750,722,41.8,124949.0
196,196,199,FLORIDA UFSD,97,1,24475.23,789,399,390,39.4,102833.2
197,197,200,FONDA-FULTONVILLE CSD,92,6,17693.4,1245,635,610,7.1,61968.5
198,198,201,FORESTVILLE CSD,90,4,19092.34,433,212,221,14.1,54393.7
199,199,202,FORT ANN CSD,81,8,23523.79,421,244,177,6.9,76262.0
