,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
237,GREENISLAND,86,11,23487.08,263,117,146,19.0,67555.0,
238,GREENBURGH,93,0,34414.7,1581,803,778,87.9,166584.0,No
239,GREENBURGHELEVEN,22,33,,71,71,0,95.8,,
240,GREENBURGH-GRAHAM,0,0,,102,60,42,88.2,,
241,GREENBURGH-NORTHCASTLE,—,—,,395,259,136,76.2,,
242,GREENE,89,6,20546.04,924,479,445,5.3,66725.0,No
243,GREENPORT,75,20,24403.49,660,351,309,72.7,120982.0,
244,GREENVILLE,87,3,23538.21,1126,573,553,4.4,87858.0,
245,GREENWICH,91,1,18651.65,945,496,449,5.1,87730.0,
246,GREENWOODLAKE,—,—,33865.79,474,236,238,35.2,107634.0,
247,GROTON,90,3,19387.04,778,387,391,8.9,78507.0,
248,GUILDERLAND,94,2,17693.96,4841,2451,2390,26.5,98477.0,Yes
249,HADLEY-LUZERNE,89,7,25299.07,640,350,290,4.4,79346.0,
250,HALDANE,93,3,25957.28,796,423,373,17.2,130618.0,
251,HALFHOLLOWHILLS,95,1,27791.97,7676,3950,3726,47.2,147055.0,
252,HAMBURG,92,3,17076.46,3321,1649,1672,7.0,96272.0,No
253,HAMILTON,90,5,20603.59,554,303,251,8.7,81903.0,
254,HAMMOND,74,16,26123.36,242,124,118,1.2,66054.0,
255,HAMMONDSPORT,76,11,27744.76,395,196,199,7.3,66119.0,
256,HAMPTONBAYS,91,6,21642.94,2006,1048,958,63.1,138451.0,
257,HANCOCK,97,3,29004.88,308,159,149,9.4,61963.0,
258,HANNIBAL,82,10,19515.27,1236,649,587,4.0,66971.0,
259,HARBORFIELDS,95,1,24499.74,2965,1510,1455,28.1,179813.0,No
260,HARPURSVILLE,84,3,21205.12,641,365,276,4.7,65726.0,
261,HARRISON,98,1,28893.27,3653,1820,1833,35.2,219748.0,No
262,HARRISVILLE,91,9,25442.94,340,175,165,5.6,61411.0,
263,HARTFORD,83,7,21509.8,410,230,180,6.3,70997.0,
264,HASTINGS-ON-HUDSON,96,1,27795.13,1656,840,816,28.5,200506.0,
265,HAUPPAUGE,95,0,28953.45,3272,1725,1547,27.8,137206.0,No
266,HAVERSTRAW-STONYPOINT(NORTHRO,86,6,22215.24,7886,4031,3855,77.5,,
267,HAWTHORNE-CEDARKNOLLS,30,10,,207,133,74,90.3,,
268,HEMPSTEAD,78,10,21489.7,6825,3624,3201,98.5,135623.0,No
269,HENDRICKHUDSON,94,1,28567.9,2267,1146,1121,44.2,136767.0,
