DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
LAKE PLEASANT CSD,,,47512.33,65,33,32,1.5
LAKELAND CSD,92.0,1.0,24687.8,5510,2787,2723,36.9
LANCASTER CSD,95.0,0.0,14140.1,5631,2874,2757,8.6
LANSING CSD,90.0,1.0,21726.47,1187,602,585,19.8
LANSINGBURGH CSD,85.0,9.0,18039.45,2110,1134,976,43.8
LAURENS CSD,84.0,8.0,23669.72,301,141,160,11.6
LAWRENCE UFSD,78.0,11.0,27720.33,2446,1289,1157,87.4
LE ROY CSD,90.0,5.0,16863.6,1176,583,593,8.2
LETCHWORTH CSD,94.0,0.0,17015.69,893,464,429,4.0
LEVITTOWN UFSD,94.0,1.0,26952.8,7102,3635,3467,36.4
LEWISTON-PORTER CSD,92.0,4.0,18690.08,1920,1004,916,9.2
LIBERTY CSD,77.0,14.0,23182.34,1694,876,818,58.3
LINDENHURST UFSD,91.0,4.0,23636.09,5674,2882,2792,34.9
LISBON CSD,92.0,0.0,20676.12,559,282,277,2.5
LITTLE FALLS CITY SD,79.0,17.0,19877.83,1073,546,527,10.0
LITTLE FLOWER UFSD,,,,97,64,33,50.5
LIVERPOOL CSD,84.0,5.0,18169.54,6927,3478,3449,28.7
LIVINGSTON MANOR CSD,74.0,10.0,30012.19,410,191,219,20.5
LIVONIA CSD,98.0,1.0,19693.89,1449,767,682,5.9
LOCKPORT CITY SD,89.0,2.0,18128.21,4328,2206,2122,29.5
LOCUST VALLEY CSD,97.0,0.0,37089.06,2012,1028,984,26.8
LONG BEACH CITY SD,97.0,1.0,31355.75,3613,1879,1734,41.9
LONG LAKE CSD,,,52830.45,59,32,27,5.1
LONGWOOD CSD,89.0,5.0,21996.25,9042,4626,4416,54.6
LOWVILLE ACADEMY & CSD,92.0,5.0,16364.3,1283,653,630,6.4
LYME CSD,95.0,5.0,19158.07,331,157,174,6.9
LYNBROOK UFSD,97.0,1.0,26396.92,2787,1422,1365,32.9
LYNCOURT UFSD,,,20346.46,373,196,177,47.5
LYNDONVILLE CSD,96.0,4.0,20760.99,586,296,290,12.1
